"Mortality rate, infant (per 1,000 live births)",,,,,,
HDI Rank (2017),Country,2014,,2015,,2016
168, Afghanistan,56.8,,54.9,,53.2
68, Albania,12.9,,12.5,,12
85, Algeria,22,,21.9,,21.6
35, Andorra,2.6,,2.5,,2.4
147, Angola,59.5,,56.9,,54.6
70, Antigua and Barbuda,5.7,,5.3,,5.1
47, Argentina,10.8,,10.3,,9.9
83, Armenia,13.2,,12.5,,11.9
3, Australia,3.4,,3.2,,3.1
20, Austria,3,,3,,2.9
80, Azerbaijan,29.1,,28.2,,27.2
54, Bahamas,9.4,,9,,8.6
43, Bahrain,6.7,,6.6,,6.5
136, Bangladesh,31.4,,29.7,,28.2
58, Barbados,12,,11.7,,11.4
53, Belarus,3.2,,3,,2.9
17, Belgium,3.3,,3.2,,3.1
106, Belize,14,,13.4,,12.8
163, Benin,66.1,,64.6,,63.1
134, Bhutan,28.8,,27.8,,26.8
118, Bolivia (Plurinational State of),31.5,,30.5,,29.5
77, Bosnia and Herzegovina,5.3,,5.3,,5.2
101, Botswana,35.9,,33.9,,32.6
79, Brazil,14.7,,14,,13.5
39, Brunei Darussalam,8.6,,8.5,,8.5
51, Bulgaria,7.4,,7,,6.5
183, Burkina Faso,56.3,,54.4,,52.7
185, Burundi,52,,50.1,,48.4
125, Cabo Verde,19.6,,18.9,,18.2
146, Cambodia,28.9,,27.5,,26.3
151, Cameroon,57,,54.5,,52.8
12, Canada,4.6,,4.5,,4.3
188, Central African Republic,93.5,,91.2,,88.5
186, Chad,78.4,,76.8,,75.2
44, Chile,7.4,,7.3,,7.2
86, China,9.9,,9.2,,8.5
90, Colombia,14,,13.6,,13.1
165, Comoros,58.1,,56.5,,55
137, Congo,39.9,,39.2,,38.5
176, Congo (Democratic Republic of the),76,,74,,72
63, Costa Rica,8.2,,7.9,,7.7
46, Croatia,4.2,,4.1,,4
73, Cuba,4.3,,4.3,,4.2
32, Cyprus,2.3,,2.2,,2.1
27, Czechia,2.5,,2.5,,2.5
170, Côte d'Ivoire,70.1,,68,,66
11, Denmark,3.5,,3.6,,3.7
172, Djibouti,56.4,,54.9,,53.5
103, Dominica,28.7,,30.2,,31.2
94, Dominican Republic,26.7,,26.1,,25.5
86, Ecuador,18.9,,18.3,,17.8
115, Egypt,20.9,,20.1,,19.4
121, El Salvador,13.8,,13.3,,12.9
141, Equatorial Guinea,70.1,,68.2,,66.2
179, Eritrea,34.7,,33.8,,32.9
30, Estonia,2.6,,2.5,,2.3
144, Eswatini (Kingdom of),54.6,,53.1,,52.4
173, Ethiopia,44.4,,42.6,,41
92, Fiji,19.5,,19.1,,18.7
15, Finland,2,,2,,1.9
24, France,3.3,,3.2,,3.2
110, Gabon,36.9,,35.8,,34.3
174, Gambia,44.2,,43.2,,42.2
70, Georgia,11,,10.2,,9.5
5, Germany,3.3,,3.3,,3.2
140, Ghana,43.8,,42.4,,41.2
31, Greece,3.2,,3.1,,3.1
75, Grenada,13.9,,14.2,,14.4
127, Guatemala,25.4,,24.6,,23.9
175, Guinea,61.8,,60,,58.3
177, Guinea-Bissau,61.6,,59.6,,57.8
125, Guyana,28.3,,27.6,,26.9
168, Haiti,53.5,,52.2,,50.9
133, Honduras,17.1,,16.6,,16
45, Hungary,4.7,,4.6,,4.4
6, Iceland,1.7,,1.7,,1.6
130, India,37.9,,36.2,,34.6
116, Indonesia,23.7,,22.9,,22.2
60, Iran (Islamic Republic of),14,,13.5,,13
120, Iraq,27.4,,26.7,,25.9
4, Ireland,3.2,,3.1,,3
22, Israel,3.1,,3,,2.9
28, Italy,3,,2.9,,2.8
97, Jamaica,14,,13.6,,13.2
19, Japan,2,,2,,2
95, Jordan,16,,15.5,,15.1
58, Kazakhstan,12.5,,11.2,,10.1
142, Kenya,38.2,,36.5,,35.6
134, Kiribati,44.6,,43.6,,42.4
n.a, Korea (Democratic People's Rep. of),17,,16,,15.1
22, Korea (Republic of),3.1,,3,,2.9
56, Kuwait,7.8,,7.5,,7.2
122, Kyrgyzstan,20.9,,19.9,,18.8
139, Lao People's Democratic Republic,51.9,,50.4,,48.9
41, Latvia,4.7,,4.3,,3.9
80, Lebanon,7.4,,7.2,,6.9
159, Lesotho,74.5,,74.5,,72.4
181, Liberia,54.8,,52.9,,51.2
108, Libya,11.9,,11.5,,11
35, Lithuania,3.9,,4.1,,4.3
21, Luxembourg,2.1,,2.1,,2
161, Madagascar,36.4,,35.2,,34
171, Malawi,43.4,,40.9,,38.9
57, Malaysia,6.9,,7,,7.1
101, Maldives,8.2,,7.7,,7.3
182, Mali,71.4,,69.6,,68
29, Malta,6,,6,,5.9
106, Marshall Islands,30.4,,29.8,,29.1
159, Mauritania,57,,55.7,,54.4
65, Mauritius,13.1,,12.7,,12.2
74, Mexico,13.3,,12.9,,12.6
131, Micronesia (Federated States of),29.1,,28.3,,27.5
112, Moldova (Republic of),14.1,,13.9,,13.7
n.a, Monaco,2.9,,2.8,,2.8
92, Mongolia,16.9,,16.1,,15.4
50, Montenegro,4.2,,3.8,,3.5
123, Morocco,25,,24.1,,23.3
180, Mozambique,57.2,,55.1,,53.1
148, Myanmar,42.8,,41.4,,40.1
129, Namibia,35.1,,34.5,,32.3
n.a, Nauru,29.9,,29.2,,28.5
149, Nepal,31,,29.6,,28.4
10, Netherlands,3.4,,3.3,,3.2
16, New Zealand,4.7,,4.6,,4.5
124, Nicaragua,17.9,,17.3,,16.8
189, Niger,53.8,,52.3,,50.9
157, Nigeria,71,,69,,66.9
1, Norway,2.3,,2.2,,2.1
48, Oman,9.5,,9.3,,9.2
150, Pakistan,67.3,,65.7,,64.2
60, Palau,14.6,,14.1,,13.7
119," Palestine, State of",17.6,,17.1,,16.6
66, Panama,14.9,,14.5,,14.1
153, Papua New Guinea,44.9,,43.8,,42.4
110, Paraguay,18.1,,17.6,,17
89, Peru,12.9,,12.4,,11.9
113, Philippines,22.7,,22.1,,21.5
33, Poland,4.3,,4.2,,4
41, Portugal,2.9,,2.9,,2.9
37, Qatar,7.4,,7.4,,7.3
52, Romania,8.1,,7.8,,7.7
49, Russian Federation,7.1,,6.8,,6.6
158, Rwanda,32.2,,30.4,,29.2
72, Saint Kitts and Nevis,8.2,,8,,7.6
90, Saint Lucia,12.4,,12.1,,11.8
99, Saint Vincent and the Grenadines,16.3,,15.7,,15.2
104, Samoa,15.5,,15.2,,14.8
n.a, San Marino,2.6,,2.6,,2.5
143, Sao Tome and Principe,28.1,,27.1,,26.2
39, Saudi Arabia,11.9,,11.4,,11.1
164, Senegal,36.2,,34.8,,33.6
67, Serbia,5.8,,5.4,,5.1
62, Seychelles,12.6,,12.5,,12.3
184, Sierra Leone,89.4,,86.2,,83.3
9, Singapore,2.1,,2.1,,2.2
38, Slovakia,5.2,,5,,4.9
25, Slovenia,2,,1.9,,1.8
152, Solomon Islands,22.6,,22.2,,21.8
n.a, Somalia,87.2,,85,,82.6
113, South Africa,35.6,,35.5,,34.2
187, South Sudan,62.7,,61,,59.2
26, Spain,2.8,,2.8,,2.7
76, Sri Lanka,8.5,,8.3,,8
167, Sudan,46.9,,45.9,,44.8
100, Suriname,19,,18.4,,17.8
7, Sweden,2.4,,2.4,,2.4
2, Switzerland,3.7,,3.6,,3.6
155, Syrian Arab Republic,14.3,,14.2,,14.2
127, Tajikistan,39.5,,38.3,,37.1
154, Tanzania (United Republic of),42.6,,41.5,,40.3
83, Thailand,11.2,,10.8,,10.5
80, The former Yugoslav Republic of Macedonia,10.1,,10.5,,10.7
132, Timor-Leste,45.4,,43.9,,42.4
165, Togo,53.4,,52.1,,50.7
98, Tonga,14.7,,14.4,,14.1
69, Trinidad and Tobago,17.7,,17,,16.5
95, Tunisia,12.5,,12.1,,11.7
64, Turkey,12.5,,11.7,,10.9
108, Turkmenistan,46.1,,44.7,,43.4
n.a, Tuvalu,22.7,,22.1,,21.4
162, Uganda,41,,39.2,,37.7
88, Ukraine,8.4,,8.1,,7.8
34, United Arab Emirates,6.8,,6.7,,6.6
14, United Kingdom,3.8,,3.7,,3.7
13, United States,5.8,,5.7,,5.6
55, Uruguay,8.1,,8,,7.9
105, Uzbekistan,24.5,,22.9,,21.4
138, Vanuatu,24,,23.6,,23.1
78, Venezuela (Bolivarian Republic of),14.5,,14.3,,14
116, Viet Nam,17.8,,17.6,,17.3
178, Yemen,43.2,,43.2,,43.2
144, Zambia,47.5,,44.8,,43.8
156, Zimbabwe,44.4,,42,,40
