"Geography","Population mid-2018 (millions)","Deaths per 1,000 Population","Total Fertility Rate"
"Algeria","42.7","4","3.1"
"Egypt","97","6","3.4"
"Libya","6.5","5","2.3"
"Morocco","35.2","5","2.2"
"Sudan","41.7","8","4.7"
"Tunisia","11.6","6","2.3"
"Western Sahara","0.6","5","2.3"
"Benin","11.5","9","5"
"Burkina Faso","20.3","9","5.5"
"Cape Verde","0.6","5","2.2"
"Cote d'Ivoire","24.9","12","4.6"
"Gambia","2.2","8","5.4"
"Ghana","29.5","8","3.9"
"Guinea","11.9","11","4.8"
"Guinea-Bissau","1.9","11","4.6"
"Liberia","4.9","8","4.2"
"Mali","19.4","10","6"
"Mauritania","4.5","8","4.6"
"Niger","22.2","10","7.2"
"Nigeria","195.9","12","5.5"
"Senegal","16.3","6","4.6"
"Sierra Leone","7.7","13","4.2"
"Togo","8","9","4.5"
"Burundi","11.8","11","5.5"
"Comoros","0.8","7","4.3"
"Djibouti","1","8","2.9"
"Eritrea","6","7","4.1"
"Ethiopia","107.5","7","4.4"
"Kenya","51","6","3.9"
"Madagascar","26.3","6","4.1"
"Malawi","19.1","7","4.2"
"Mauritius","1.3","8","1.4"
"Mozambique","30.5","10","5.3"
"Rwanda","12.6","6","4.2"
"Seychelles","0.1","8","2.4"
"Somalia","15.2","11","6.3"
"South Sudan","13","11","5"
"Tanzania","59.1","7","5.2"
"Uganda","44.1","9","5.4"
"Zambia","17.7","8","5.2"
"Zimbabwe","14","10","4"
"Angola","30.4","10","6.2"
"Cameroon","25.6","10","4.7"
"Central African Republic","4.7","14","4.9"
"Chad","15.4","13","6.4"
"Congo","5.4","10","4.4"
"Congo, Dem. Rep.","84.3","10","6.3"
"Equatorial Guinea","1.3","10","4.7"
"Gabon","2.1","8","3.8"
"Sao Tome and Principe","0.2","7","4.4"
"Botswana","2.2","10","2.6"
"eSwatini","1.4","10","3.3"
"Lesotho","2.3","13","3.3"
"Namibia","2.5","8","3.4"
"South Africa","57.7","9","2.4"
"Canada","37.2","8","1.5"
"United States","328","9","1.8"
"Belize","0.4","5","2.6"
"Costa Rica","5","5","1.7"
"El Salvador","6.5","7","2.3"
"Guatemala","17.2","5","2.8"
"Honduras","9","5","2.5"
"Mexico","130.8","6","2.2"
"Nicaragua","6.3","5","2.2"
"Panama","4.2","5","2.4"
"Antigua and Barbuda","0.1","6","1.9"
"Bahamas","0.4","6","1.6"
"Barbados","0.3","9","1.6"
"Cuba","11.1","9","1.6"
"Curacao","0.2","9","1.5"
"Dominica","0.07","8","1.8"
"Dominican Republic","10.8","6","2.5"
"Grenada","0.1","9","2.1"
"Haiti","10.8","8","3"
"Jamaica","2.9","7","2"
"Puerto Rico","3.3","9","1.1"
"St. Kitts-Nevis","0.05","9","1.8"
"Saint Lucia","0.2","6","1.5"
"St. Vincent and the Grenadines","0.1","9","2.1"
"Trinidad and Tobago","1.4","8","1.6"
"Argentina","44.5","8","2.3"
"Bolivia","11.3","7","2.9"
"Brazil","209.4","6","1.7"
"Chile","18.6","6","1.8"
"Colombia","49.8","6","2"
"Ecuador","17","5","2.5"
"Guyana","0.8","8","2.5"
"Paraguay","6.9","6","2.5"
"Peru","32.2","6","2.4"
"Suriname","0.6","7","2.4"
"Uruguay","3.5","9","2"
"Venezuela","31.8","5","2.4"
"Armenia","3","9","1.6"
"Azerbaijan","9.9","6","1.9"
"Bahrain","1.5","2","1.9"
"Cyprus","1.2","6","1.4"
"Georgia","3.9","13","2.1"
"Iraq","40.2","4","4.1"
"Israel","8.5","5","3.1"
"Jordan","10.2","3","3.2"
"Kuwait","4.2","2","1.5"
"Lebanon","6.1","5","1.7"
"Oman","4.7","2","2.9"
"Qatar","2.7","1","1.9"
"Saudi Arabia","33.4","3","2.4"
"Syria","18.3","6","2.9"
"Turkey","81.3","5","2.1"
"United Arab Emirates","9.5","2","1.8"
"Yemen","28.9","6","4"
"Kazakhstan","18.4","7","3"
"Kyrgyzstan","6.1","6","3.1"
"Tajikistan","9.1","5","3.8"
"Turkmenistan","5.9","7","3.2"
"Uzbekistan","32.9","5","2.5"
"Afghanistan","36.5","7","4.8"
"Bangladesh","166.4","5","2.1"
"Bhutan","0.8","6","2.1"
"India","1,371.3","6","2.3"
"Iran","81.6","5","2"
"Maldives","0.4","3","2.4"
"Nepal","29.7","6","2.3"
"Pakistan","200.6","7","3.1"
"Sri Lanka","21.7","6","2.1"
"Brunei","0.4","4","1.9"
"Cambodia","16","6","2.6"
"Indonesia","265.2","7","2.4"
"Laos","7","7","2.7"
"Malaysia","32.5","5","1.9"
"Myanmar","53.9","8","2.3"
"Philippines","107","6","2.7"
"Singapore","5.8","5","1.2"
"Thailand","66.2","8","1.5"
"Timor-Leste","1.2","7","4.2"
"Vietnam","94.7","7","2.1"
"China","1,393.8","7","1.8"
"Japan","126.5","11","1.4"
"Korea, North","25.6","9","1.9"
"Korea, South","51.8","6","1.1"
"Mongolia","3.2","6","2.8"
"Taiwan","23.6","7","1.2"
"Denmark","5.8","9","1.8"
"Estonia","1.3","12","1.6"
"Finland","5.5","10","1.5"
"Iceland","0.4","7","1.7"
"Ireland","4.9","6","1.8"
"Latvia","1.9","15","1.7"
"Lithuania","2.8","14","1.6"
"Norway","5.3","8","1.6"
"Sweden","10.2","9","1.8"
"United Kingdom","66.4","9","1.8"
"Austria","8.8","9","1.5"
"Belgium","11.4","10","1.6"
"France","65.1","9","1.9"
"Germany","82.8","11","1.6"
"Liechtenstein","0.04","7","1.6"
"Luxembourg","0.6","7","1.4"
"Monaco","0.04","6","1.5"
"Netherlands","17.2","9","1.6"
"Switzerland","8.5","8","1.5"
"Belarus","9.5","13","1.5"
"Bulgaria","7","16","1.6"
"Czechia","10.6","11","1.7"
"Hungary","9.8","14","1.5"
"Moldova","3.5","11","1.3"
"Poland","38.4","11","1.4"
"Romania","19.5","13","1.4"
"Russia","147.3","12","1.6"
"Slovakia","5.4","10","1.5"
"Ukraine","42.3","14","1.3"
"Albania","2.9","8","1.6"
"Andorra","0.08","4","1.1"
"Bosnia-Herzegovina","3.5","10","1.3"
"Croatia","4.1","12","1.4"
"Greece","10.6","11","1.3"
"Italy","60.6","11","1.3"
"Kosovo","1.8","5","1.7"
"Macedonia","2.1","10","1.4"
"Malta","0.5","7","1.4"
"Montenegro","0.6","11","1.8"
"Portugal","10.3","11","1.4"
"San Marino","0.03","8","1"
"Serbia","7","14","1.5"
"Slovenia","2.1","10","1.6"
"Spain","46.7","9","1.3"
"Australia","24.1","7","1.7"
"Federated States of Micronesia","0.1","6","3"
"Fiji","0.9","7","2.3"
"French Polynesia","0.3","5","1.8"
"Guam","0.2","6","3.2"
"Kiribati","0.1","7","3.8"
"Marshall Islands","0.06","4","4.1"
"Nauru","0.01","8","3.9"
"New Caledonia","0.3","6","2.1"
"New Zealand","4.9","7","1.8"
"Palau","0.02","10","2"
"Papua New Guinea","8.5","7","3.8"
"Samoa","0.2","4","3.8"
"Solomon Islands","0.7","5","3.8"
"Tonga","0.1","6","3.6"
"Tuvalu","0.01","9","3.6"
"Vanuatu","0.3","5","3.5"
